elapsed (s);x-axis (g);y-axis (g);z-axis (g)
5.670;-0.019;-0.092;1.049
5.680;-0.015;-0.088;1.056
5.690;-0.010;-0.093;1.058
5.700;-0.010;-0.101;1.060
5.710;-0.015;-0.109;1.076
5.720;-0.017;-0.106;1.095
5.730;-0.020;-0.091;1.109
5.740;-0.021;-0.083;1.113
5.750;-0.015;-0.085;1.117
5.760;-0.015;-0.087;1.111
5.770;-0.016;-0.091;1.099
5.780;-0.022;-0.098;1.085
5.790;-0.029;-0.101;1.062
5.800;-0.027;-0.101;1.038
5.810;-0.024;-0.116;1.015
5.820;-0.026;-0.120;0.979
5.830;-0.030;-0.120;0.937
5.840;-0.033;-0.128;0.883
5.850;-0.034;-0.143;0.809
5.860;-0.034;-0.165;0.742
5.870;-0.040;-0.187;0.676
5.880;-0.034;-0.193;0.611
5.890;-0.024;-0.193;0.569
5.900;-0.025;-0.185;0.532
5.910;-0.035;-0.188;0.482
5.920;-0.044;-0.197;0.423
5.930;-0.027;-0.187;0.352
5.940;-0.023;-0.181;0.298
5.950;-0.020;-0.164;0.266
5.960;-0.006;-0.132;0.223
5.970;0.003;-0.115;0.252
5.980;0.002;-0.094;0.238
5.990;0.016;-0.042;0.236
6.000;0.011;-0.005;0.233
6.010;-0.012;0.004;0.207
6.020;-0.020;0.024;0.223
6.030;-0.013;0.030;0.259
6.040;-0.009;0.035;0.284
6.050;-0.017;0.042;0.301
6.060;-0.031;0.021;0.349
6.070;-0.044;-0.068;0.392
6.080;-0.042;-0.137;0.459
6.090;-0.061;-0.194;0.556
6.100;-0.142;-0.208;0.777
6.110;-0.240;-0.257;0.982
6.120;-0.327;-0.266;1.122
6.130;-0.367;-0.216;1.232
6.140;-0.343;-0.145;1.329
6.150;-0.225;-0.064;1.471
6.160;-0.137;0.014;1.614
6.170;-0.088;0.053;1.780
6.180;-0.069;0.085;1.922
6.190;-0.063;0.187;2.014
6.200;-0.064;0.300;2.060
6.210;-0.058;0.350;2.104
6.220;-0.058;0.368;2.133
6.230;-0.048;0.343;2.150
6.240;-0.027;0.289;2.130
6.250;-0.036;0.223;2.025
6.260;-0.064;0.189;1.883
6.270;-0.043;0.127;1.771
6.280;-0.027;0.063;1.658
6.290;-0.008;0.003;1.540
6.300;0.013;-0.063;1.449
6.310;0.032;-0.113;1.356
6.320;0.030;-0.110;1.273
6.330;0.023;-0.113;1.216
6.340;0.049;-0.112;1.197
6.350;0.059;-0.090;1.179
6.360;0.046;-0.066;1.162
6.370;0.045;-0.038;1.170
6.380;0.053;-0.016;1.185
6.390;0.048;-0.011;1.182
6.400;0.048;-0.006;1.193
6.410;0.043;0.016;1.207
6.420;0.033;0.030;1.212
6.430;0.028;0.028;1.207
6.440;0.027;0.022;1.207
6.450;0.032;0.015;1.208
6.460;0.038;0.000;1.187
6.470;0.038;-0.011;1.176
6.480;0.030;-0.012;1.173
6.490;0.022;-0.014;1.153
6.500;0.015;-0.020;1.132
6.510;0.005;-0.015;1.118
6.520;0.002;-0.006;1.100
6.530;0.005;-0.007;1.083
6.540;0.013;-0.004;1.077
6.550;0.016;0.008;1.090
6.560;0.023;0.005;1.103
6.570;0.019;-0.000;1.105
6.580;0.016;0.013;1.105
6.590;0.016;0.017;1.109
6.600;0.014;0.008;1.113
6.610;0.010;0.024;1.143
6.620;0.002;0.053;1.174
6.630;-0.001;0.059;1.193
6.640;0.005;0.062;1.203
6.650;0.012;0.062;1.198
6.660;0.015;0.060;1.185
6.670;0.021;0.061;1.170
6.680;0.029;0.064;1.146
6.690;0.040;0.060;1.144
6.700;0.047;0.060;1.193
6.710;0.052;0.072;1.212
6.720;0.047;0.094;1.195
6.730;0.039;0.107;1.172
6.740;0.026;0.107;1.144
6.750;0.013;0.098;1.106
6.760;0.004;0.072;1.062
6.770;0.001;0.044;1.026
6.780;0.013;0.025;1.032
6.790;0.017;0.020;1.066
6.800;0.012;0.027;1.104
6.810;0.007;0.005;1.108
6.820;0.009;0.006;1.104
6.830;0.000;0.019;1.096
6.840;-0.013;0.020;1.071
6.850;-0.023;0.012;1.031
6.860;-0.041;0.001;1.004
6.870;-0.051;-0.013;0.972
6.880;-0.061;-0.015;0.962
6.890;-0.063;-0.014;0.984
6.900;-0.046;-0.023;1.007
6.910;-0.024;-0.015;1.011
6.920;-0.005;-0.014;0.979
6.930;-0.002;-0.021;0.929
6.940;0.013;-0.029;0.875
6.950;0.024;-0.046;0.840
6.960;0.017;-0.061;0.806
6.970;-0.005;-0.081;0.775
6.980;-0.021;-0.098;0.757
6.990;-0.040;-0.098;0.726
7.000;-0.051;-0.090;0.698
7.010;-0.050;-0.080;0.728
7.020;-0.056;-0.079;0.771
7.030;-0.053;-0.089;0.795
7.040;-0.038;-0.097;0.806
7.050;-0.036;-0.113;0.799
7.060;-0.044;-0.129;0.765
7.070;-0.051;-0.136;0.733
7.080;-0.061;-0.134;0.713
7.090;-0.068;-0.128;0.712
7.100;-0.074;-0.125;0.729
7.110;-0.073;-0.125;0.763
7.120;-0.060;-0.114;0.805
7.130;-0.044;-0.106;0.837
7.140;-0.036;-0.116;0.832
7.150;-0.022;-0.133;0.818
7.160;-0.011;-0.154;0.812
7.170;-0.004;-0.168;0.824
7.180;-0.012;-0.172;0.847
7.190;-0.022;-0.162;0.875
7.200;-0.023;-0.140;0.895
7.210;-0.025;-0.122;0.911
7.220;-0.015;-0.116;0.915
7.230;-0.001;-0.117;0.921
7.240;0.008;-0.118;0.945
7.250;0.000;-0.125;0.960
7.260;-0.012;-0.128;0.958
7.270;-0.021;-0.122;0.958
7.280;-0.026;-0.114;0.958
7.290;-0.023;-0.112;0.976
7.300;0.003;-0.107;1.017
7.310;0.015;-0.107;1.042
7.320;0.008;-0.113;1.030
7.330;-0.001;-0.112;1.002
7.340;-0.007;-0.099;0.994
7.350;-0.010;-0.083;0.996
7.360;-0.022;-0.077;0.997
7.370;-0.028;-0.081;0.997
7.380;-0.023;-0.074;1.032
7.390;-0.024;-0.062;1.056
7.400;-0.027;-0.064;1.060
7.410;-0.023;-0.064;1.061
7.420;-0.027;-0.069;1.050
7.430;-0.041;-0.081;1.040
7.440;-0.049;-0.090;1.029
7.450;-0.053;-0.093;1.022
7.460;-0.057;-0.095;1.006
7.470;-0.070;-0.093;0.996
7.480;-0.067;-0.089;1.002
7.490;-0.062;-0.092;1.013
7.500;-0.055;-0.091;1.021
7.510;-0.060;-0.087;1.024
7.520;-0.063;-0.086;1.019
7.530;-0.069;-0.092;1.011
7.540;-0.066;-0.086;1.010
7.550;-0.061;-0.081;1.009
7.560;-0.057;-0.081;1.009
7.570;-0.048;-0.078;1.021
7.580;-0.028;-0.074;1.032
7.590;-0.007;-0.085;1.037
7.600;-0.007;-0.106;1.020
7.610;-0.028;-0.106;1.008
7.620;-0.044;-0.096;0.993
7.630;-0.051;-0.102;0.992
7.640;-0.047;-0.105;1.007
7.650;-0.035;-0.104;1.015
7.660;-0.025;-0.100;1.017
7.670;-0.017;-0.090;1.029
7.680;-0.013;-0.081;1.028
7.690;-0.003;-0.073;1.029
7.700;0.001;-0.080;1.038
7.710;-0.010;-0.087;1.025
7.720;-0.016;-0.086;1.021
7.730;-0.013;-0.087;1.028
7.740;-0.014;-0.089;1.033
